Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	NFATC3	4775	Q12968	nuclear factor of activated T cells 3	Transcription factor	57	0.636	0.538	0.99813	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	NFKBIB	4793	Q15653	NFKB inhibitor beta		16	0.743	0.462	0.42245	0.01		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	NGF	4803	P01138	nerve growth factor	Signaling	616	0.391	0.885	0.82026	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NHS	4810	Q6T4R5	NHS actin remodeling regulator		295	0.466	0.846	0.99999	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NOTCH2	4853	Q04721	notch receptor 2		384	0.441	0.808	1.0	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NOTCH3	4854	Q9UM47	notch receptor 3		418	0.435	0.808	0.40757	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ATP2A2	488	P16615	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	Transporter	159	0.529	0.808	0.99945	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	NRAS	4893	P01111	NRAS proto-oncogene, GTPase	Enzyme modulator	611	0.39	0.808	0.49009	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	NRL	4901	P54845	neural retina leucine zipper	Transcription factor	61	0.647	0.462	0.047637	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	YBX1	4904	P67809	Y-box binding protein 1		148	0.519	0.769	0.94646	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	NT5E	4907	P21589	5'-nucleotidase ecto	Enzyme	376	0.436	0.885	2.2881e-11	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	NTF3	4908	P20783	neurotrophin 3	Signaling	170	0.519	0.808	0.93201	0.01		1.0	1	0	2005.0	2005.0
Chronic Obstructive Airway Disease	C0024117	OAT	4942	P04181	ornithine aminotransferase	Enzyme	92	0.593	0.731	7.7182e-07	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR380	494329		microRNA 380		13	0.76	0.269		0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	MIR422A	494334		microRNA 422a		38	0.653	0.538		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR424	494336		microRNA 424		131	0.535	0.769		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	OMP	4975	P47874	olfactory marker protein		33	0.686	0.654	0.00040499	0.01		1.0	1	0	1999.0	1999.0
Chronic Obstructive Airway Disease	C0024117	P2RX1	5023	P51575	purinergic receptor P2X 1	Ion channel	94	0.584	0.808	6.7632e-11	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	P2RX3	5024	P56373	purinergic receptor P2X 3	Ion channel	125	0.565	0.769	1.0318e-06	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	P2RX4	5025	Q99571	purinergic receptor P2X 4	Ion channel	138	0.547	0.808	4.9835e-12	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	P2RX5	5026	Q93086	purinergic receptor P2X 5	Ion channel	132	0.548	0.769	2.8546e-13	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	P2RY1	5028	P47900	purinergic receptor P2Y1	G-protein coupled receptor	126	0.551	0.769	0.51522	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	FURIN	5045	P09958	furin, paired basic amino acid cleaving enzyme	Enzyme	80	0.612	0.769	0.99994	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	DUOX2	50506	Q9NRD8	dual oxidase 2	Enzyme	150	0.533	0.769	4.5032e-56	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	NOX4	50507	Q9NPH5	NADPH oxidase 4	Enzyme	260	0.471	0.885	5.7555e-20	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PAH	5053	P00439	phenylalanine hydroxylase		219	0.516	0.769	6.4046e-23	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PAK2	5062	Q13177	p21 (RAC1) activated kinase 2	Kinase	62	0.653	0.538	0.97169	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	REG3A	5068	Q06141	regenerating family member 3 alpha		148	0.522	0.769	0.00062895	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ASAP1	50807	Q9ULH1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1		112	0.556	0.808	1.0	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	NTM	50863	Q9P121	neurotrimin		58	0.644	0.577	0.057798	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HEBP1	50865	Q9NRV9	heme binding protein 1		29	0.695	0.538	4.1767e-06	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PCBP2	5094	Q15366	poly(rC) binding protein 2	Enzyme	44	0.647	0.577	0.99617	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	ASCC1	51008	Q8N9N2	activating signal cointegrator 1 complex subunit 1		209	0.495	0.846	2.6051e-14	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	PCNA	5111	P12004	proliferating cell nuclear antigen	Nucleic acid binding	581	0.382	0.846	0.97606	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SAR1B	51128	Q9Y6B6	secretion associated Ras related GTPase 1B		44	0.686	0.462	0.002315	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	IRAK4	51135	Q9NWZ3	interleukin 1 receptor associated kinase 4	Kinase	90	0.578	0.769	7.8001e-09	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TLR7	51284	Q9NYK1	toll like receptor 7		276	0.464	0.885	0.97912	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TLR8	51311	Q9NR97	toll like receptor 8		122	0.543	0.769	0.32401	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ATP6V1D	51382	Q9Y5K8	ATPase H+ transporting V1 subunit D	Transporter	8	0.805	0.154	4.5061e-05	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	TRPV2	51393	Q9Y5S1	transient receptor potential cation channel subfamily V member 2	Ion channel	90	0.581	0.615	7.9184e-13	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	COMMD10	51397	Q9Y6G5	COMM domain containing 10		17	0.78	0.269	6.4803e-12	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	PRKAG2	51422	Q9UGJ0	protein kinase AMP-activated non-catalytic subunit gamma 2	Enzyme modulator	122	0.582	0.654	0.99692	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PDE4D	5144	Q08499	phosphodiesterase 4D		210	0.519	0.846	0.9998	0.01		1.0	1	0	2006.0	2006.0
Chronic Obstructive Airway Disease	C0024117	GULP1	51454	Q9UBP9	GULP PTB domain containing engulfment adaptor 1		15	0.76	0.423	0.68714	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	DCDC2	51473	Q9UHG0	doublecortin domain containing 2		128	0.546	0.769	5.6611e-10	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ISYNA1	51477	Q9NPH2	inositol-3-phosphate synthase 1		168	0.51	0.769	2.4934e-05	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	IL23A	51561	Q9NPF7	interleukin 23 subunit alpha	Signaling	427	0.415	0.846	0.35806	0.01		1.0	1	0	2009.0	2009.0
Chronic Obstructive Airway Disease	C0024117	GHRL	51738	Q9UBU3	ghrelin and obestatin prepropeptide		183	0.517	0.769	1.3921e-11	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PECAM1	5175	P16284	platelet and endothelial cell adhesion molecule 1	Cell adhesion	396	0.426	0.846		0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	PIM1	5292	P11309	Pim-1 proto-oncogene, serine/threonine kinase	Kinase	224	0.482	0.769	0.84846	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PITX3	5309	O75364	paired like homeodomain 3		93	0.585	0.692	0.81276	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLA2G2A	5320	P14555	phospholipase A2 group IIA	Enzyme	215	0.488	0.808	0.097278	0.01		1.0	1	0	2005.0	2005.0
Chronic Obstructive Airway Disease	C0024117	PLAT	5327	P00750	plasminogen activator, tissue type	Enzyme	392	0.445	0.885	5.6593e-05	0.01		1.0	1	0	2004.0	2004.0
Chronic Obstructive Airway Disease	C0024117	PLXNA2	5362	O75051	plexin A2		307	0.447	0.808	1.0768e-06	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DUOX1	53905	Q9NRD9	dual oxidase 1	Enzyme	97	0.57	0.692	6.2238e-33	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	H2BS1	54145	P57053	H2B.S histone 1		22	0.711	0.615		0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	TREM2	54209	Q9NZC2	triggering receptor expressed on myeloid cells 2		239	0.519	0.769	3.2892e-09	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TREM1	54210	Q9NP99	triggering receptor expressed on myeloid cells 1		172	0.515	0.808	0.0062776	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	PPIA	5478	P62937	peptidylprolyl isomerase A		180	0.51	0.769	0.55734	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PPIC	5480	P45877	peptidylprolyl isomerase C		9	0.805	0.231	0.00030514	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ACP3	55	P15309	acid phosphatase 3	Enzyme	151	0.525	0.731	2.5463e-16	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PID1	55022	Q7Z2X4	phosphotyrosine interaction domain containing 1		29	0.7	0.231	0.003148	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	MOCOS	55034	Q96EN8	molybdenum cofactor sulfurase		81	0.617	0.654	1.6193e-19	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ATG16L1	55054	Q676U5	autophagy related 16 like 1		120	0.543	0.769	0.96452	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SLC52A1	55065	Q9NWF4	solute carrier family 52 member 1	Transporter	160	0.526	0.769	3.5163e-06	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	ANO1	55107	Q5XXA6	anoctamin 1	Ion channel	175	0.516	0.769	0.87426	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	ELP3	55140	Q9H9T3	elongator acetyltransferase complex subunit 3	Enzyme	25	0.751	0.231	3.0115e-14	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MTPAP	55149	Q9NVV4	mitochondrial poly(A) polymerase	Enzyme	104	0.581	0.769	0.99904	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	YY1AP1	55249	Q9H869	YY1 associated protein 1	Transcription factor	35	0.711	0.462	1.9461e-18	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HJURP	55355	Q8NCD3	Holliday junction recognition protein		33	0.691	0.269	2.0485e-07	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MAML3	55534	Q96JK9	mastermind like transcriptional coactivator 3	Transcription factor	57	0.653	0.577	0.99984	0.01		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SOX6	55553	P35712	SRY-box transcription factor 6		105	0.578	0.615	0.99984	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	KLK15	55554	Q9H2R5	kallikrein related peptidase 15	Enzyme	28	0.705	0.385	0.015191	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ZNF692	55657	Q9BU19	zinc finger protein 692		11	0.805	0.192	1.2582e-11	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PRKCD	5580	Q05655	protein kinase C delta	Kinase	287	0.48	0.846	0.99995	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CENPJ	55835	Q9HC77	centromere protein J	Enzyme	150	0.546	0.846	2.0603e-27	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PRKCZ	5590	Q05513	protein kinase C zeta	Kinase	88	0.604	0.654	0.541	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	ACSS2	55902	Q9NR19	acyl-CoA synthetase short chain family member 2	Enzyme	188	0.506	0.808	1.1443e-13	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	ZC4H2	55906	Q9NQZ6	zinc finger C4H2-type containing		151	0.561	0.731	0.90752	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	KLHL7	55975	Q8IXQ5	kelch like family member 7		135	0.581	0.731	4.559e-05	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	MAPK7	5598	Q13164	mitogen-activated protein kinase 7	Kinase	127	0.553	0.654	0.0031023	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MAPK9	5601	P45984	mitogen-activated protein kinase 9	Kinase	115	0.561	0.731	0.069738	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	MAPK13	5603	O15264	mitogen-activated protein kinase 13	Kinase	26	0.705	0.577	6.7197e-11	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PRNP	5621	F7VJQ1;P04156	prion protein		426	0.445	0.923	0.00063182	0.01		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AZGP1	563	P25311	alpha-2-glycoprotein 1, zinc-binding		101	0.566	0.769	4.1545e-06	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	KLK6	5653	Q92876	kallikrein related peptidase 6	Enzyme	99	0.575	0.654	0.0060052	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	AZU1	566	P20160	azurocidin 1	Enzyme	56	0.636	0.692	3.9068e-05	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	AGPAT3	56894	Q9NRZ7	1-acylglycerol-3-phosphate O-acyltransferase 3		6	0.931	0.038	0.99933	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SDHAF3	57001	Q9NRP4	succinate dehydrogenase complex assembly factor 3		6	0.821	0.192	0.0026353	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CAMK1D	57118	Q8IU85	calcium/calmodulin dependent protein kinase ID	Kinase	28	0.743	0.423	0.9962	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	PELI1	57162	Q96FA3	pellino E3 ubiquitin protein ligase 1		74	0.603	0.731	0.39038	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ARFGEF3	57221	Q5TH69	ARFGEF family member 3		13	0.769	0.192	1.0	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PTCH1	5727	Q13635	patched 1		604	0.398	0.885	1.0	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PTGDS	5730	P41222	prostaglandin D2 synthase	Enzyme	195	0.503	0.846	0.0050922	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	MIR146B	574447		microRNA 146b		187	0.496	0.769		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR495	574453		microRNA 495		87	0.573	0.654		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR499A	574501		microRNA 499a		156	0.519	0.846		0.01		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	MIR503	574506		microRNA 503		111	0.551	0.808		0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	NLN	57486	Q9BYT8	neurolysin	Enzyme	74	0.597	0.731	3.9148e-12	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MAVS	57506	Q7Z434	mitochondrial antiviral signaling protein		82	0.585	0.692	6.7045e-07	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	MIB1	57534	Q86YT6	mindbomb E3 ubiquitin protein ligase 1	Enzyme	329	0.438	0.769	3.3574e-88	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CFAP97	57587	Q9P2B7	cilia and flagella associated protein 97		43	0.638	0.769	0.00010469	0.01		1.0	1	0	2000.0	2000.0
Chronic Obstructive Airway Disease	C0024117	PPP4R4	57718	Q6NUP7	protein phosphatase 4 regulatory subunit 4		4	1.0	0.038	2.2494e-09	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PTPN6	5777	P29350	protein tyrosine phosphatase non-receptor type 6		218	0.485	0.769	0.99999	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HAMP	57817	P81172	hepcidin antimicrobial peptide		377	0.433	0.846	0.0081797	0.01		0.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ZNF410	57862	Q86VK4	zinc finger protein 410	Transcription factor	75	0.585	0.769	0.35337	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	PTPRC	5788	P08575	protein tyrosine phosphatase receptor type C	Enzyme	366	0.435	0.808	1.0	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	BAX	581	Q07812	BCL2 associated X, apoptosis regulator	Signaling	420	0.417	0.885	0.31746	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CXCL16	58191	Q9H2A7	C-X-C motif chemokine ligand 16	Signaling	178	0.502	0.769	3.4546e-05	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PVT1	5820		Pvt1 oncogene		190	0.495	0.731		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SCAF1	58506	Q9H7N4	SR-related CTD associated factor 1		43	0.666	0.5	0.99819	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	IL21	59067	Q9HBE4	interleukin 21		321	0.441	0.769	0.6254	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	RARRES2	5919	Q99969	retinoic acid receptor responder 2		180	0.519	0.731	2.716e-05	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	REN	5972	P00797	renin	Enzyme	721	0.37	0.923	2.4297e-07	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	RIT1	6016	Q92963	Ras like without CAAX 1	Enzyme modulator	184	0.527	0.808	0.13281	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	RNF5	6048	Q99942	ring finger protein 5	Enzyme	28	0.716	0.538	3.6989e-05	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	ROBO2	6092	Q9HCK4	roundabout guidance receptor 2		49	0.633	0.462	1.0	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ROM1	6094	Q03395	retinal outer segment membrane protein 1		117	0.579	0.654	0.00041221	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	RORC	6097	P51449	RAR related orphan receptor C	Nuclear receptor	88	0.576	0.769	0.99985	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ROS1	6098	P08922	ROS proto-oncogene 1, receptor tyrosine kinase	Kinase	356	0.439	0.885	1.6184e-72	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	RPGR	6103	Q92834	retinitis pigmentosa GTPase regulator		167	0.536	0.692	0.99804	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	OPN1SW	611	P03999	opsin 1, short wave sensitive	G-protein coupled receptor	164	0.519	0.769	0.021134	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	RPS3	6188	P23396	ribosomal protein S3	Nucleic acid binding	26	0.7	0.346	0.92	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MIR483	619552		microRNA 483		122	0.537	0.769		0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MIR455	619556		microRNA 455		92	0.559	0.769		0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	RRM1	6240	P23921	ribonucleotide reductase catalytic subunit M1	Enzyme	111	0.552	0.692	1.0	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	S100A4	6275	P26447	S100 calcium binding protein A4	Calcium-binding protein	308	0.448	0.769	0.0061838	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	S100A5	6276	P33763	S100 calcium binding protein A5	Calcium-binding protein	14	0.805	0.308	5.5111e-05	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SATB1	6304	Q01826	SATB homeobox 1	Transcription factor	147	0.525	0.769	0.99051	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CCL3	6348	P10147	C-C motif chemokine ligand 3	Signaling	282	0.46	0.885	0.34981	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BICD1	636	Q96G01	BICD cargo adaptor 1		8	0.821	0.231	1.5724e-05	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	CCL24	6369	O00175	C-C motif chemokine ligand 24	Signaling	67	0.608	0.731	0.0070888	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BID	637	P55957	BH3 interacting domain death agonist		117	0.555	0.808	1.5646e-11	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CXCL11	6373	O14625	C-X-C motif chemokine ligand 11	Signaling	164	0.519	0.808	0.31408	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	SRR	63826	Q9GZT4	serine racemase	Enzyme	58	0.617	0.692	0.0057964	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	SDC4	6385	P31431	syndecan 4	Extracellular structure	71	0.603	0.615	0.0041475	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SELL	6402	P14151	selectin L		171	0.505	0.846	4.9624e-07	0.01		1.0	1	0	1998.0	1998.0
Chronic Obstructive Airway Disease	C0024117	SELP	6403	P16109	selectin P		293	0.46	0.769	5.0448e-32	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NOD2	64127	Q9HC29	nucleotide binding oligomerization domain containing 2	Enzyme	434	0.423	0.923	1.9834e-30	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	SET	6418	Q01105	SET nuclear proto-oncogene	Enzyme modulator	183	0.507	0.808	0.99597	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SFRP2	6423	Q96HF1	secreted frizzled related protein 2		134	0.544	0.731	0.0016693	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SFRP5	6425	Q5T4F7	secreted frizzled related protein 5		106	0.559	0.692	5.1843e-06	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SGCA	6442	Q16586	sarcoglycan alpha	Calcium-binding protein	111	0.592	0.654	0.0027124	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SGSH	6448	P51688	N-sulfoglucosamine sulfohydrolase	Enzyme	80	0.638	0.692	0.00010158	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DEPTOR	64798	Q8TB45	DEP domain containing MTOR interacting protein	Enzyme modulator	57	0.626	0.654	3.7245e-12	0.01		1.0	1	1	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLC1A5	6510	Q15758	solute carrier family 1 member 5	Transporter	81	0.587	0.577	0.16869	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SLC1A7	6512	O00341	solute carrier family 1 member 7	Transporter	17	0.769	0.346	7.5281e-11	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SLC2A4	6517	P14672	solute carrier family 2 member 4	Transporter	158	0.528	0.769	4.7123e-05	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	BMP4	652	P12644	bone morphogenetic protein 4	Signaling	423	0.422	0.808	0.9564	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLC6A8	6535	P48029	solute carrier family 6 member 8	Transporter	274	0.476	0.846	0.99778	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BMP6	654	P22004	bone morphogenetic protein 6	Signaling	137	0.531	0.808	0.75947	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SLC11A1	6556	P49279	solute carrier family 11 member 1	Transporter	141	0.525	0.846	1.5485e-19	0.01		1.0	1	1	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	BMPR1A	657	P36894	bone morphogenetic protein receptor type 1A	Kinase	203	0.522	0.731	0.90333	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	BMPR2	659	Q13873	bone morphogenetic protein receptor type 2	Kinase	146	0.538	0.654	0.99998	0.01		1.0	1	2	2016.0	2016.0
